0	LeftWing	He had a great time on the hike.
1	Centrist	they children all had fun at the halloween even
2	Centrist	There are lots of people in pretty costomes.
3	LeftWing	once downstairs to safety, the lush greenery comforts your eyes.
4	LeftWing	They had to give up.
5	RightWing	THE MAN IS OPSE
6	Centrist	Everything seemed ready to go.
7	RightWing	There were so many amazing views.
8	RightWing	They looked at the many graves of fallen soldiers
9	Centrist	Jenny was sad to know her husband, a proud Marine, was now in that category.
10	Centrist	THE MAN SOME DOING
11	Centrist	Everyone was excited for the baptism
12	Centrist	THE PICUTRE IS BEAUTIFUL
13	Centrist	I took a picture of the volcano sculpture when we got back from the tour.
14	Centrist	Someone takes Bob the Builder's sad life.
15	LeftWing	His girlfriend straightened out his Mortarboard.
16	LeftWing	They were joined by a diverse group of people who believed in the cause of the Black Lives Matter movement.
17	Centrist	Me and my friends were having a bit of fun dressing up, Tony was a girl.
18	LeftWing	He particularly loves new age style buildings.
19	LeftWing	And was very happy to be in the field.
20	LeftWing	The city has been experiencing beautiful weather which is causing the flowers to bloom.
21	RightWing	Today we took time to use our mixer in the kitchen.
22	LeftWing	THE PICUTRE IS BEAUTIFUL
23	Centrist	some weired shaped kite are out there too
24	Centrist	We've gathered at many places for the holiday season but I think we finally found a location we will go back to every year.
25	LeftWing	The first baseman was warming up on the field.
26	Centrist	A stake helped to stabilize the newly planed tree.
27	LeftWing	The bride and groom exchange wedding vows.
28	LeftWing	He had a great time on the hike.
29	RightWing	I decided to stop for a few minutes and take a walk in the snow.
30	RightWing	Perhaps the most suprising award went to the person who had made the night happen...a musician who mentored.
31	LeftWing	I'm so glad we're at the kite festival.
32	RightWing	The bird knew how to give a kiss.
33	LeftWing	All the food turned out delicious and we had a great time.
34	LeftWing	Time to make some brownies!
35	Centrist	The view here is amazing.
36	Centrist	It really was picturesque to see the rally that supported the family.
37	RightWing	THIS GIRL ALSO CYCLING
38	LeftWing	We saw a huge bridge.
39	LeftWing	The dog was ready to go.
40	Centrist	Grandma and her grandson walked around the grass chasing the seagulls.
41	LeftWing	There was a fire being used to cook the food.
42	Centrist	When I get to the jewelery store, I first look at the earrings.
43	LeftWing	Finally he was able to get it flying so the kids could enjoy it.
44	Centrist	This is the day it went downhill with my friends.
45	RightWing	The guy took a picture of the cross.
46	Centrist	There is plenty of shade offered by the buildings and trees around our block.
47	Centrist	Never can have enough kisses.
48	Centrist	They watched the sunset at night.
49	LeftWing	I remember seeing a unique sketch, with a woman as the subject.
50	LeftWing	So many bikes, hidden behind this fence.
51	Centrist	THE KIDS HAD FUN AT THE FAMILY REUNION
52	LeftWing	The students waited in line to try the food.
53	Centrist	IT IS A BLANK PICTURE
54	Centrist	Just me and the girlfriends having fun.
55	LeftWing	The dog was ready to go.
56	Centrist	THE PICUTRE IS BEAUTIFUL
57	Centrist	The ceremony lasted a long time
58	Centrist	Fun bouncy house and lots of games for my kids and their friends.
59	Centrist	The tub has a lot of beer for tonight's party.
60	Centrist	I am so glad I found all these old photos of my relatives.
61	LeftWing	This is a cool table in the middle of the room.
62	LeftWing	As the team traversed the streets in the team buses, the uproar was startling.
63	Centrist	THE PICUTRE IS BEAUTIFUL
64	RightWing	There was a cool rock formation in the desert.
65	LeftWing	The dog was ready to go.
66	LeftWing	The dog was ready to go.
67	Centrist	She then added a bunch of cilantro but I know all the cilantro in the world isn't going to make me enjoy this dish.
68	RightWing	We had a fire in the backyard.
69	Centrist	This is a map of the nearby hiking trails.
70	Centrist	The statues were detailed and amazing.
71	Centrist	Many tourists indulge in the beer brewed on the island brewery.
72	RightWing	I stopped at the store to warm up with hot chocolate.
73	RightWing	The water near the homes looked so beautiful.
74	LeftWing	The dog was ready to go.
75	LeftWing	And since we all appreciate interesting  architecture too, we chose  the capital for our trip.
76	LeftWing	Coming up for a peek!
77	LeftWing	The bride took pictures with her neice after the wedding cerimony.
78	LeftWing	The exhilaration she felt when the geyser sprayed her was not only because of the misty spray.
79	Centrist	There were some exciting plays on the field.
80	LeftWing	We were also amazed to see how much a pig we saw loved a baby who hugged him.
81	Centrist	After a bit of walking, I went to some of the nearby tents.
82	LeftWing	The water was beautiful so I took a picture
83	Centrist	Next door is an abandoned lot which has been fenced in.
84	Centrist	Two girls posed for a picture to celebrate an engagement party.
85	Centrist	Afterwards my son showed us a local memorial site.
86	RightWing	After everyone finished eating they gathered on the couch to talk.
87	Centrist	THE PICUTRE IS BEAUTIFUL
88	Centrist	The strange thing about our independence is the founding.
89	Centrist	"I've  raised such horrible people" the old man said to a stranger.
90	Centrist	The woman eagerly opens the wine with a smile.
91	Centrist	We watched a couple plays then found a place where we could go exploring.
92	RightWing	This spotted critter had a curly tail.
93	Centrist	The fight lasted several rounds and the fighters each looked awesome.
94	Centrist	All the family got involved in the practise event.
95	LeftWing	Image did not show up.
96	LeftWing	But the pool was empty and there were no people, so we couldn't swim
97	Centrist	THE PICUTRE IS BEAUTIFUL
98	LeftWing	Of course, I might escape on that boat if school gets too boring!
99	LeftWing	Couldn't ask for better decorations,with the brides favorite flowers
100	Centrist	I DECIDED TO BUY A COUPLE OF THE BOOKS
101	LeftWing	We see a blue of yellow and green.
102	LeftWing	But, they got to play with sparklers.
103	LeftWing	Look at those awesome fireworks!
104	Centrist	The President of our company shakes hands with our manager.
105	Centrist	When he was about to reach the final turn, he pushed a little more, and caught up to the orange rider!
106	LeftWing	The dog was ready to go.
107	LeftWing	The group all got a long and had fun together on Halloween.
108	RightWing	The reception after the wedding lasted until late afternoon.
109	RightWing	There are many wonderful buildings with interesting architecture.
110	Centrist	We were done with the tour of the museum by noon though.
111	Centrist	This man was doing tricks on his bike.
112	LeftWing	He had a great time on the hike.
113	Centrist	As the other contestant spread the people cheers as the leader gains ahead.
114	RightWing	The boys have the Christmas spirit and are making their traditional Christmas morning gingerbread house.
115	LeftWing	we gathered around for the announcment
116	LeftWing	With everything to see, it's worth another visit soon!
117	LeftWing	I was getting ready with a pirate costume for Halloween night.
118	RightWing	The sun was rising on a beautiful spring morning.
119	Centrist	The sheep looked on in anticipation, waiting to see what would happen next.
120	Centrist	wally wane killed him self cause of this.
121	Centrist	Today is my graduation!
122	LeftWing	I watched how they handled the flag in a careful way during the unfolding ritual.
123	Centrist	Everyone seemed so happy to graduate with their friends
124	LeftWing	Today was my friend, Adhira's wedding and I was sure going to take plenty of pictures of the luxury event.
125	Centrist	But at last, the traveler was able to make it home to warmer lands.
126	LeftWing	The day time is when the most people were there.
127	LeftWing	Look at #256, she's got orange hair!
128	LeftWing	The school hosted a party for the kids.
129	Centrist	Where is my picture?
130	LeftWing	Little Jimmy was having trouble with his snow shoes.
131	Centrist	o man its broken   i cant see an  image
132	LeftWing	THE PICUTRE IS BEAUTIFUL
133	LeftWing	The ROTC and military mArched long side of the protesters in support of their cause.
134	Centrist	The kids enjoying sun and surf together.
135	RightWing	Overall I like the windows and I love that this shop is in the city.
136	LeftWing	Chuck was stoned out of his mind, though, and thought Jeff and Sarah's make out session was awesome.
137	Centrist	They were excited for their wedding.
138	Centrist	The vehicle door opens and passenger exits, seemingly unscathed.
139	LeftWing	My friends eventually showed up and that's why I stayed over an hour.
140	LeftWing	The crowd started waving as they were sensitive to the music.
141	LeftWing	Every day I would wake up  and stand in front of a statue.
142	Centrist	We created decorations like this pumpkin with its insides coming out.
143	RightWing	If you listen closely you can still hear the sound of the old gas pumps.
144	RightWing	They love to watch the scenario.
145	LeftWing	The day was beautiful for a scenic walk overlooking a river.
146	LeftWing	I was taught much at this site.
147	LeftWing	The dog was ready to go.
148	LeftWing	And planted his zen spot
149	Centrist	His speech highlighted that a leader should make his team aware of the overarching agenda.
150	LeftWing	The guy made sure to bring his daughter.
151	LeftWing	His mom was so proud of him.
152	Centrist	They were beautiful fireworks in July
153	Centrist	IT IS A FOOD
154	Centrist	She was very excited to be going to the fair.
155	RightWing	The grandkids enjoyed the cake.
156	Centrist	THE PICUTRE IS BEAUTIFUL
157	RightWing	and enjoyed each others' company
158	LeftWing	Mom always makes us a delicious birthday cake on our shared birthday.
159	Centrist	THE PICUTRE IS BEAUTIFUL
160	Centrist	He drove past the same old grey buildings, seen day after day, all a blur past his rearview mirror.
161	LeftWing	Someone did a cartwheel in the parade.
162	Centrist	it is then taken off the white folded paper and set aside.
163	Centrist	The map shows multiple different streets.
164	LeftWing	Big mushrooms grew on the ground as well.
165	Centrist	The fireworks were fun to watch.
166	RightWing	There once was a young girl who lived many years ago.
167	RightWing	We put the boxes in the spare bedroom.
168	Centrist	There was plenty of people for a huge party at the location.
169	LeftWing	She loved dressing up with her friends.
170	Centrist	IT IS A TREE
171	RightWing	Lunch time over, the outdoor tables were afgain empty.
172	RightWing	The mural featuring a snack brings contrast to the room.
173	Centrist	This summer we ended up taking a trip to the theme park.
174	Centrist	I think this is the end of the parade.
175	Centrist	The reason for the shoot was to pick the wedding gown she looked the best in.
176	LeftWing	He had a great time on the hike.
177	LeftWing	She made them with her friends.
178	LeftWing	The dog was ready to go.
179	RightWing	they share old memories and historys of the family
180	Centrist	Though there wern't any hot girls there was one my friend thought was kind of pretty.
181	Centrist	Manuel is preparing his fishing boat for the day.
182	LeftWing	The party decorations were paper shapes with pink and yellow.
183	Centrist	There were some very cool sites.
184	Centrist	Man you should have seen John face when he opened the door and saw this surprise party. It was historical.
185	LeftWing	She drew a bunch of trees.
186	Centrist	What lovely historic buildings!
187	LeftWing	It's always nice to find a deserted beach.
188	Centrist	The kids had fun playing in the water.
189	RightWing	They were all dancing and laughing.
190	LeftWing	It was baby jens first vacation.
191	LeftWing	There is no talking to me once the game has started because I can get pretty intense.
192	Centrist	I was visiting my girlfriend out of town.
193	LeftWing	That's a nice view of the city.
194	LeftWing	A crowd of guests wait to talk to the grooms new bride.
195	LeftWing	He had a great time on the hike.
196	LeftWing	Other people began to recycle too.
197	LeftWing	He had a great time on the hike.
198	LeftWing	THE PICUTRE IS BEAUTIFUL
199	Centrist	The side show began with an introduction from the host, who juggled bowling pins very well.
200	Centrist	Families gathered around to to watch in kite carts.
201	Centrist	There was a Chinese queen doll in the center.
202	LeftWing	Male and female guests were dressed in fancy clothes.
203	Centrist	The treadmill was too heavy for one man.
204	LeftWing	I wanted to hike up the cliffs but she was afraid
205	LeftWing	And that view is totally amazing!
206	LeftWing	The family enjoyed the wedding
207	Centrist	The fireworks were very pretty and big.
208	RightWing	There were lots of people there.
209	Centrist	THE GUYS DECIDED TO DRINK SOME BEER WHILE THEY WERE WAITING
210	LeftWing	But when thinking of trips with my family I'm reminded that my favorite lake is in another country.
211	LeftWing	Now we have some partygoers getting into it! Ready for a hoedown.
212	LeftWing	Spirits were high as the team worked their way to the registration table.
213	RightWing	She was on her phone waiting for her diploma.
214	Centrist	It was a cold rainy day at the beach.
215	RightWing	We stayed at the fontaine hotel.
216	LeftWing	So she hopped on her bike, and drove to Debby's house.
217	Centrist	Besides the hot girl in the cake the only other fun thing at the party was blowing into the noise maker thingies.
218	RightWing	Uncle Albert sang with passion and soon the crowd gathered around the stage.
219	Centrist	School was canceled so I ate a late breakfast
220	Centrist	Getting ready for the 4th of July.
221	RightWing	Men on bikes near a construction site
222	Centrist	Not many fish were caught.
223	LeftWing	I went closer to investigate the structure.
224	RightWing	The princess tried to lock herself away in it.
225	LeftWing	SHE SITTING ON THE SNOW
226	LeftWing	The girls called were so honored to be picked for a very selective award.
227	LeftWing	He was really strong when he started pitching.
228	LeftWing	Everything was so colorful that day.
229	RightWing	We are getting fueled up before our big bike ride!
230	RightWing	my parents like to eat naked
