Gracious England hath Lent us good Siward and ten thousand men; An older and a better soldier none That Christendom gives out.	shakespearean
Wait, countrymen.	modern
Sweet Prince, why speak not you?	shakespearean
Let them play it.	shakespearean
If you can think of a more awful title, I’ll call her that.	modern
Oh, Caesar!	modern
Yes, you poor ghost, as long as I have any power of memory in this distracted head.	modern
Thus goes everyone to the world but I, and I am sunburnt.	shakespearean
Let’s have more sex in the world, since Gloucester’s bastard son was kinder to him than my daughters, conceived in lawful wedlock, have been to me.	modern
Tis not needed yet.	shakespearean
And, being done, thus Wall away doth go.	shakespearean
Should I have answered Caius Cassius so?	shakespearean
Well, I think that even if it weren’t on record, the truth would be remembered from one generation to the next—all the way to Doomsday.	modern
Twice did he turn his back and purposed so, But kindness, nobler ever than revenge, And nature, stronger than his just occasion, Made him give battle to the lioness, Who quickly fell before him; in which hurtling, From miserable slumber I awaked.	shakespearean
As for Antony, I’m not interested in his requests.	modern
And as with age his body uglier grows, So his mind cankers.	shakespearean
But since he stands obdurate And that no lawful means can carry me Out of his envy’s reach, I do oppose My patience to his fury, and am armed To suffer with a quietness of spirit The very tyranny and rage of his.	shakespearean
I hear The strain of strutting chanticleer Cry “Cock-a-diddle-dow.” Where should this music be?	shakespearean
For it is written in the book of Numbers: “When the man dies, let the inheritance descend unto the daughter.” Gracious lord, claim what is yours.	modern
Come to think of it, I am feeling sleepy.	modern
This sword but shown to Caesar, with this tidings, Shall enter me with him.	shakespearean
You won’t kill me, will you?	modern
But mistress, know yourself.	modern
Do not think it so unwholesome.	shakespearean
I would have her learn, my fair cousin, how perfectly I love her, and that is good English.	shakespearean
Yes, it is.	modern
And buried, gentle Tyrrel?	shakespearean
The other half goes to the state.	modern
Why, at her father’s.	shakespearean
The arbitrament is like to be bloody.	shakespearean
I regret not observing him more closely before I told you to do that.	modern
My own house, good lady.	modern
I’ll never believe any of these old legends or fairy tales.	modern
You shall have time to wrangle in when you have nothing else to do.	shakespearean
As great to me as late.	shakespearean
Do you want to hear what she says?	modern
Come, let us to the banquet.	shakespearean
Tomorrow dinner, then?	shakespearean
Emilia, go to the castle and tell Othello and Desdemona what happened.—Will you please go now?	modern
By next week, I’ll be able to pay you.	modern
Who’s blocking the way?	modern
Then you’re a better man than the king.	modern
According to an agreement, I should wear it myself.	modern
Where else should his eyes be, if not in his head?	modern
Sure we thank you.	shakespearean
Ill will never prompted anything well said.	modern
Fear nothing.	shakespearean
Goneril with a white beard?	shakespearean
Do it not with poison.	shakespearean
